event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
4255,20,False,False,0->0,,,,,16,3187,"95,60,400,854,625,72,877,290,298,594,312,842,952,922,195,218,162,599,794,382"
1210,0,False,False,0->0,,,,,16,16,
1210,5,False,False,0->0,,,,,16,848,"439,110,755,718,607"
1210,10,False,False,0->0,,,,,16,1341,"141,993,756,307,90,836,375,911,211,771"
1210,20,False,False,0->0,,,,,16,3181,"112,87,49,84,91,750,977,524,186,271,940,686,713,966,308,148,905,794,39,740"
49,0,False,False,0->0,,,,,16,16,
49,5,False,False,0->0,,,,,16,558,"725,199,67,837,403"
49,10,False,False,0->0,,,,,16,1530,"83,242,73,424,120,859,745,642,132,705"
49,20,False,False,0->0,,,,,16,3212,"44,491,524,453,777,94,718,834,758,36,289,486,318,895,552,92,239,680,517,738"
6976,0,False,False,0->0,,,,,16,16,
6976,5,False,False,0->0,,,,,16,744,"643,860,458,844,42"
6976,10,False,False,0->0,,,,,16,1277,"163,719,806,44,732,634,993,22,759,568"
6976,20,False,False,0->0,,,,,16,3762,"512,984,369,872,53,582,434,833,198,684,785,24,588,204,188,598,832,120,253,107"
2536,0,False,False,0->0,,,,,16,16,
2536,5,False,False,0->0,,,,,16,488,"922,981,588,655,500"
2536,10,False,False,0->0,,,,,16,1408,"679,961,922,710,185,612,172,13,2,131"
2536,20,False,False,0->0,,,,,16,4028,"387,2,531,741,200,279,257,597,782,124,734,756,735,253,343,573,761,880,750,545"
5399,0,False,False,0->0,,,,,16,16,
5399,5,False,False,0->0,,,,,16,829,"650,759,58,569,21"
5399,10,False,False,0->0,,,,,16,2102,"84,396,274,63,693,207,948,640,952,508"
5399,20,False,False,0->0,,,,,16,2951,"683,452,779,40,59,594,811,232,395,582,794,438,800,22,552,724,803,914,982,130"
2142,0,False,False,0->0,,,,,16,16,
2142,5,False,False,0->0,,,,,16,954,"531,338,198,724,52"
2142,10,False,False,0->0,,,,,16,1890,"639,268,370,380,105,270,485,538,565,676"
2142,20,False,False,0->0,,,,,16,4769,"627,322,751,155,164,482,458,903,202,248,831,238,614,512,740,777,185,113,474,42"
3671,0,False,False,0->0,,,,,16,16,
3671,5,False,False,0->0,,,,,16,1014,"601,488,787,145,411"
3671,10,False,False,0->0,,,,,16,975,"358,714,908,304,391,944,222,103,570,491"
3671,20,False,False,0->0,,,,,16,4306,"497,301,302,39,434,368,440,632,25,15,737,986,197,238,20,610,388,110,961,326"
3081,0,False,False,0->0,,,,,16,16,
3081,5,False,False,0->0,,,,,16,996,"487,735,233,243,875"
3081,10,False,False,0->0,,,,,16,2336,"651,392,337,482,574,428,142,431,414,830"
3081,20,False,False,0->0,,,,,16,2361,"103,868,12,253,94,861,793,638,709,613,152,980,405,510,914,146,463,886,597,474"
1596,0,False,False,0->0,,,,,16,16,
1596,5,False,False,0->0,,,,,16,649,"508,787,232,553,195"
1596,10,False,False,0->0,,,,,16,1224,"104,837,709,97,950,396,229,352,815,991"
1596,20,False,False,0->0,,,,,16,3085,"735,832,558,117,402,808,441,951,750,897,943,535,695,687,376,459,315,211,842,486"
3407,0,False,False,0->0,,,,,16,16,
3407,5,False,False,0->0,,,,,16,866,"147,220,880,707,616"
3407,10,False,False,0->0,,,,,16,1469,"145,845,796,567,531,29,54,806,13,721"
3407,20,False,False,0->0,,,,,16,4060,"706,783,992,202,9,938,751,476,273,507,849,7,768,324,239,829,38,920,298,264"
2885,0,False,False,0->0,,,,,16,16,
2885,5,False,False,0->0,,,,,16,824,"585,434,352,364,556"
2885,10,False,False,0->0,,,,,16,1693,"304,97,347,121,978,970,636,3,837,648"
