event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
8.0,1,1,21,8.67733347438851,-32.09776290918507,-22.296583489422645,33.25,-1.3067669172932332,9.583855706293344,0.01,-87.79658348942264
8.0,1,2,59,13.074559081997704,-48.77812936974266,11.403416510577358,50.5,-1.3089108910891092,9.583855706293344,0.01,-87.79658348942264
8.0,1,3,143,22.273372050745937,-85.65130995781121,86.20341651057736,88.5,-1.3163841807909604,9.583855706293344,0.01,-87.79658348942264
8.0,1,4,218,30.062318916025585,-118.75397669716652,153.00341651057738,122.5,-1.322857142857143,9.583855706293344,0.01,-87.79658348942264
8.0,1,5,608,62.79234308384021,-292.3322111058604,501.38660102627165,299.0,-1.3592133519028735,9.583855706293344,0.01,-87.79658348942264
8.0,1,6,767,72.42335984449547,-363.8624148614895,641.8418216429649,371.0,-1.37432352554648,9.583855706293344,0.01,-87.79658348942264
8.0,1,7,927,79.97740406383929,-435.72079918132135,784.2344865600852,443.0,-1.389265049122917,9.583855706293344,0.01,-87.79658348942264
8.0,1,8,1084,85.19422508610526,-506.8904654972098,923.4419294109625,514.0,-1.4042803595222653,9.583855706293344,0.01,-87.79658348942264
8.0,-1,1,21,8.725590957850862,-32.08467800113118,-22.296583489422645,33.25,-1.305263157894737,9.583855706293344,0.01,-87.79658348942264
8.0,-1,2,59,13.36409773897836,-48.69959847496726,11.403416510577358,50.5,-1.302970297029703,9.583855706293344,0.01,-87.79658348942264
8.0,-1,3,143,24.01070568593173,-85.18060819496164,86.20341651057736,88.5,-1.296045197740113,9.583855706293344,0.01,-87.79658348942264
8.0,-1,4,218,34.019363457272846,-117.6814892409251,153.00341651057738,122.5,-1.289387755102041,9.583855706293344,0.01,-87.79658348942264
